"","Year","Age","mx","qx","ax","lx","dx","Lx","Tx","ex"
"1","1990","0","0.00610","0.00607","0.14","100000","607","99476","7841997","78.42"
"2","1990","1","0.00062","0.00062","0.50","99393","61","99362","7742521","77.90"
"3","1990","2","0.00035","0.00035","0.50","99332","35","99314","7643159","76.95"
"4","1990","3","0.00032","0.00032","0.50","99297","32","99281","7543844","75.97"
"5","1990","4","0.00021","0.00021","0.50","99265","21","99255","7444563","75.00"
"6","1990","5","0.00021","0.00021","0.50","99244","20","99234","7345309","74.01"
"7","1990","6","0.00022","0.00022","0.50","99224","22","99213","7246075","73.03"
"8","1990","7","0.00022","0.00022","0.50","99202","22","99191","7146862","72.04"
"9","1990","8","0.00019","0.00019","0.50","99180","19","99171","7047671","71.06"
"10","1990","9","0.00015","0.00015","0.50","99161","14","99154","6948500","70.07"
"11","1990","10","0.00014","0.00014","0.50","99147","14","99140","6849346","69.08"
"12","1990","11","0.00013","0.00013","0.50","99133","13","99126","6750206","68.09"
"13","1990","12","0.00014","0.00014","0.50","99120","14","99113","6651079","67.10"
"14","1990","13","0.00019","0.00019","0.50","99106","19","99096","6551967","66.11"
"15","1990","14","0.00023","0.00023","0.50","99086","22","99075","6452871","65.12"
"16","1990","15","0.00025","0.00025","0.50","99064","25","99052","6353795","64.14"
"17","1990","16","0.00027","0.00027","0.50","99039","27","99026","6254744","63.15"
"18","1990","17","0.00031","0.00031","0.50","99012","31","98997","6155718","62.17"
"19","1990","18","0.00035","0.00035","0.50","98982","35","98964","6056721","61.19"
"20","1990","19","0.00040","0.00040","0.50","98947","40","98927","5957756","60.21"
"21","1990","20","0.00042","0.00042","0.50","98907","41","98886","5858829","59.24"
"22","1990","21","0.00038","0.00038","0.50","98866","37","98847","5759943","58.26"
"23","1990","22","0.00040","0.00040","0.50","98829","39","98809","5661096","57.28"
"24","1990","23","0.00043","0.00043","0.50","98789","42","98768","5562287","56.30"
"25","1990","24","0.00040","0.00040","0.50","98747","40","98727","5463518","55.33"
"26","1990","25","0.00043","0.00043","0.50","98707","42","98686","5364791","54.35"
"27","1990","26","0.00038","0.00038","0.50","98665","38","98646","5266105","53.37"
"28","1990","27","0.00042","0.00042","0.50","98627","41","98607","5167458","52.39"
"29","1990","28","0.00041","0.00041","0.50","98586","41","98566","5068851","51.42"
"30","1990","29","0.00054","0.00054","0.50","98546","53","98519","4970285","50.44"
"31","1990","30","0.00054","0.00054","0.50","98493","53","98466","4871766","49.46"
"32","1990","31","0.00059","0.00059","0.50","98440","58","98411","4773299","48.49"
"33","1990","32","0.00061","0.00061","0.50","98382","60","98352","4674888","47.52"
"34","1990","33","0.00063","0.00063","0.50","98322","62","98291","4576537","46.55"
"35","1990","34","0.00078","0.00078","0.50","98260","76","98222","4478245","45.58"
"36","1990","35","0.00083","0.00083","0.50","98184","82","98143","4380024","44.61"
"37","1990","36","0.00100","0.00100","0.50","98102","98","98053","4281881","43.65"
"38","1990","37","0.00103","0.00103","0.50","98004","101","97954","4183827","42.69"
"39","1990","38","0.00109","0.00109","0.50","97903","107","97850","4085874","41.73"
"40","1990","39","0.00124","0.00124","0.50","97797","121","97736","3988024","40.78"
"41","1990","40","0.00136","0.00135","0.50","97676","132","97610","3890288","39.83"
"42","1990","41","0.00137","0.00137","0.50","97543","133","97477","3792678","38.88"
"43","1990","42","0.00153","0.00153","0.50","97410","149","97335","3695201","37.93"
"44","1990","43","0.00160","0.00160","0.50","97261","155","97183","3597866","36.99"
"45","1990","44","0.00184","0.00184","0.50","97105","179","97016","3500683","36.05"
"46","1990","45","0.00208","0.00207","0.50","96926","201","96826","3403668","35.12"
"47","1990","46","0.00226","0.00225","0.50","96725","218","96616","3306842","34.19"
"48","1990","47","0.00238","0.00238","0.50","96507","229","96393","3210225","33.26"
"49","1990","48","0.00262","0.00262","0.50","96278","252","96152","3113832","32.34"
"50","1990","49","0.00266","0.00265","0.50","96026","255","95899","3017680","31.43"
"51","1990","50","0.00296","0.00296","0.50","95771","283","95630","2921781","30.51"
"52","1990","51","0.00316","0.00315","0.50","95488","301","95338","2826152","29.60"
"53","1990","52","0.00347","0.00346","0.50","95187","330","95022","2730814","28.69"
"54","1990","53","0.00381","0.00380","0.50","94857","361","94677","2635792","27.79"
"55","1990","54","0.00427","0.00426","0.50","94497","402","94296","2541115","26.89"
"56","1990","55","0.00481","0.00480","0.50","94094","451","93869","2446819","26.00"
"57","1990","56","0.00511","0.00510","0.50","93643","478","93404","2352950","25.13"
"58","1990","57","0.00580","0.00578","0.50","93165","538","92896","2259546","24.25"
"59","1990","58","0.00622","0.00620","0.50","92627","574","92340","2166650","23.39"
"60","1990","59","0.00684","0.00681","0.50","92053","627","91739","2074310","22.53"
"61","1990","60","0.00759","0.00756","0.50","91425","692","91080","1982571","21.69"
"62","1990","61","0.00831","0.00828","0.50","90734","751","90358","1891491","20.85"
"63","1990","62","0.00907","0.00903","0.50","89983","813","89576","1801133","20.02"
"64","1990","63","0.00993","0.00988","0.50","89170","881","88729","1711557","19.19"
"65","1990","64","0.01111","0.01104","0.50","88289","975","87801","1622828","18.38"
"66","1990","65","0.01205","0.01198","0.50","87313","1046","86791","1535027","17.58"
"67","1990","66","0.01349","0.01340","0.50","86268","1156","85690","1448236","16.79"
"68","1990","67","0.01481","0.01470","0.50","85111","1251","84486","1362546","16.01"
"69","1990","68","0.01710","0.01696","0.50","83860","1422","83149","1278061","15.24"
"70","1990","69","0.01860","0.01843","0.50","82438","1519","81679","1194911","14.49"
"71","1990","70","0.02339","0.02312","0.50","80919","1871","79984","1113233","13.76"
"72","1990","71","0.02101","0.02080","0.50","79048","1644","78226","1033249","13.07"
"73","1990","72","0.02577","0.02544","0.50","77404","1969","76419","955023","12.34"
"74","1990","73","0.02896","0.02855","0.50","75435","2153","74358","878604","11.65"
"75","1990","74","0.03087","0.03040","0.50","73281","2228","72167","804246","10.97"
"76","1990","75","0.03840","0.03768","0.50","71053","2677","69715","732079","10.30"
"77","1990","76","0.04151","0.04066","0.50","68376","2780","66986","662364","9.69"
"78","1990","77","0.04752","0.04641","0.50","65596","3045","64073","595378","9.08"
"79","1990","78","0.05404","0.05262","0.50","62551","3291","60905","531305","8.49"
"80","1990","79","0.06040","0.05862","0.50","59260","3474","57523","470399","7.94"
"81","1990","80","0.06936","0.06703","0.50","55786","3739","53916","412876","7.40"
"82","1990","81","0.07833","0.07538","0.50","52046","3923","50085","358960","6.90"
"83","1990","82","0.08884","0.08506","0.50","48123","4093","46076","308876","6.42"
"84","1990","83","0.09966","0.09493","0.50","44030","4180","41940","262799","5.97"
"85","1990","84","0.11308","0.10703","0.50","39850","4265","37718","220859","5.54"
"86","1990","85","0.12651","0.11898","0.50","35585","4234","33468","183142","5.15"
"87","1990","86","0.14370","0.13407","0.50","31351","4203","29249","149674","4.77"
"88","1990","87","0.15838","0.14676","0.50","27148","3984","25156","120424","4.44"
"89","1990","88","0.17909","0.16437","0.50","23164","3807","21260","95268","4.11"
"90","1990","89","0.19686","0.17922","0.50","19356","3469","17622","74008","3.82"
"91","1990","90","0.22099","0.19900","0.50","15887","3162","14307","56386","3.55"
"92","1990","91","0.24397","0.21745","0.50","12726","2767","11342","42080","3.31"
"93","1990","92","0.26532","0.23425","0.50","9959","2333","8792","30738","3.09"
"94","1990","93","0.29108","0.25410","0.50","7626","1938","6657","21945","2.88"
"95","1990","94","0.31066","0.26889","0.50","5688","1529","4923","15289","2.69"
"96","1990","95","0.34824","0.29659","0.50","4159","1233","3542","10365","2.49"
"97","1990","96","0.37845","0.31823","0.50","2925","931","2460","6823","2.33"
"98","1990","97","0.40964","0.34000","0.50","1994","678","1655","4363","2.19"
"99","1990","98","0.44157","0.36171","0.50","1316","476","1078","2708","2.06"
"100","1990","99","0.47399","0.38318","0.50","840","322","679","1630","1.94"
"101","1990","100","0.50663","0.40423","0.50","518","209","413","951","1.83"
"102","1990","101","0.53922","0.42471","0.50","309","131","243","537","1.74"
"103","1990","102","0.57147","0.44447","0.50","178","79","138","294","1.66"
"104","1990","103","0.60313","0.46339","0.50","99","46","76","156","1.58"
"105","1990","104","0.63395","0.48137","0.50","53","25","40","80","1.51"
"106","1990","105","0.66370","0.49833","0.50","27","14","21","40","1.45"
"107","1990","106","0.69222","0.51424","0.50","14","7","10","19","1.40"
"108","1990","107","0.71934","0.52905","0.50","7","4","5","9","1.36"
"109","1990","108","0.74495","0.54278","0.50","3","2","2","4","1.32"
"110","1990","109","0.76897","0.55542","0.50","1","1","1","2","1.28"
"111","1990","110+","0.79136","1.00000","1.26","1","1","1","1","1.26"
"112","1991","0","0.00569","0.00566","0.14","100000","566","99512","7868715","78.69"
"113","1991","1","0.00055","0.00055","0.50","99434","55","99406","7769203","78.13"
"114","1991","2","0.00032","0.00032","0.50","99379","31","99363","7669797","77.18"
"115","1991","3","0.00029","0.00029","0.50","99348","29","99333","7570433","76.20"
"116","1991","4","0.00025","0.00025","0.50","99318","25","99306","7471100","75.22"
"117","1991","5","0.00021","0.00021","0.50","99294","21","99283","7371794","74.24"
"118","1991","6","0.00018","0.00018","0.50","99273","18","99264","7272511","73.26"
"119","1991","7","0.00014","0.00014","0.50","99255","14","99248","7173246","72.27"
"120","1991","8","0.00017","0.00017","0.50","99242","17","99233","7073998","71.28"
"121","1991","9","0.00016","0.00016","0.50","99225","16","99217","6974765","70.29"
"122","1991","10","0.00013","0.00013","0.50","99209","13","99203","6875548","69.30"
"123","1991","11","0.00017","0.00017","0.50","99196","16","99188","6776345","68.31"
"124","1991","12","0.00014","0.00014","0.50","99180","14","99172","6677157","67.32"
"125","1991","13","0.00014","0.00014","0.50","99165","14","99158","6577985","66.33"
"126","1991","14","0.00018","0.00018","0.50","99151","17","99143","6478826","65.34"
"127","1991","15","0.00022","0.00022","0.50","99134","22","99123","6379684","64.35"
"128","1991","16","0.00027","0.00027","0.50","99112","27","99099","6280561","63.37"
"129","1991","17","0.00029","0.00029","0.50","99085","29","99071","6181462","62.39"
"130","1991","18","0.00044","0.00044","0.50","99056","44","99034","6082392","61.40"
"131","1991","19","0.00046","0.00046","0.50","99012","46","98989","5983357","60.43"
"132","1991","20","0.00039","0.00039","0.50","98967","39","98947","5884368","59.46"
"133","1991","21","0.00040","0.00040","0.50","98928","39","98908","5785420","58.48"
"134","1991","22","0.00033","0.00033","0.50","98889","33","98873","5686512","57.50"
"135","1991","23","0.00036","0.00036","0.50","98856","36","98838","5587639","56.52"
"136","1991","24","0.00037","0.00037","0.50","98821","36","98803","5488801","55.54"
"137","1991","25","0.00040","0.00040","0.50","98784","40","98764","5389998","54.56"
"138","1991","26","0.00041","0.00041","0.50","98745","41","98724","5291234","53.59"
"139","1991","27","0.00039","0.00039","0.50","98704","39","98685","5192510","52.61"
"140","1991","28","0.00045","0.00045","0.50","98665","45","98643","5093825","51.63"
"141","1991","29","0.00051","0.00051","0.50","98620","50","98595","4995182","50.65"
"142","1991","30","0.00055","0.00055","0.50","98570","54","98543","4896587","49.68"
"143","1991","31","0.00056","0.00056","0.50","98516","55","98488","4798044","48.70"
"144","1991","32","0.00069","0.00069","0.50","98461","68","98427","4699555","47.73"
"145","1991","33","0.00071","0.00071","0.50","98393","70","98358","4601129","46.76"
"146","1991","34","0.00080","0.00080","0.50","98323","79","98283","4502771","45.80"
"147","1991","35","0.00081","0.00081","0.50","98244","80","98204","4404488","44.83"
"148","1991","36","0.00097","0.00097","0.50","98164","95","98117","4306284","43.87"
"149","1991","37","0.00101","0.00101","0.50","98069","99","98020","4208167","42.91"
"150","1991","38","0.00108","0.00108","0.50","97970","106","97918","4110147","41.95"
"151","1991","39","0.00114","0.00114","0.50","97865","112","97809","4012230","41.00"
"152","1991","40","0.00132","0.00132","0.50","97753","129","97688","3914421","40.04"
"153","1991","41","0.00140","0.00140","0.50","97624","136","97556","3816733","39.10"
"154","1991","42","0.00146","0.00146","0.50","97487","142","97416","3719177","38.15"
"155","1991","43","0.00165","0.00165","0.50","97345","161","97265","3621761","37.21"
"156","1991","44","0.00177","0.00176","0.50","97185","172","97099","3524496","36.27"
"157","1991","45","0.00199","0.00199","0.50","97013","193","96916","3427397","35.33"
"158","1991","46","0.00233","0.00233","0.50","96820","226","96707","3330481","34.40"
"159","1991","47","0.00244","0.00243","0.50","96594","235","96477","3233774","33.48"
"160","1991","48","0.00269","0.00269","0.50","96359","259","96229","3137297","32.56"
"161","1991","49","0.00264","0.00264","0.50","96100","254","95973","3041067","31.64"
"162","1991","50","0.00286","0.00286","0.50","95846","274","95709","2945094","30.73"
"163","1991","51","0.00341","0.00341","0.50","95572","326","95409","2849385","29.81"
"164","1991","52","0.00346","0.00346","0.50","95246","329","95082","2753976","28.91"
"165","1991","53","0.00379","0.00378","0.50","94917","359","94738","2658894","28.01"
"166","1991","54","0.00441","0.00440","0.50","94558","416","94350","2564157","27.12"
"167","1991","55","0.00458","0.00457","0.50","94142","430","93927","2469806","26.23"
"168","1991","56","0.00503","0.00502","0.50","93712","471","93476","2375880","25.35"
"169","1991","57","0.00540","0.00539","0.50","93241","502","92990","2282403","24.48"
"170","1991","58","0.00616","0.00614","0.50","92739","569","92454","2189413","23.61"
"171","1991","59","0.00658","0.00656","0.50","92170","605","91867","2096959","22.75"
"172","1991","60","0.00740","0.00737","0.50","91565","675","91227","2005092","21.90"
"173","1991","61","0.00821","0.00818","0.50","90890","743","90518","1913865","21.06"
"174","1991","62","0.00902","0.00898","0.50","90146","809","89742","1823347","20.23"
"175","1991","63","0.00997","0.00992","0.50","89337","886","88894","1733605","19.41"
"176","1991","64","0.01076","0.01070","0.50","88451","947","87977","1644711","18.59"
"177","1991","65","0.01191","0.01184","0.50","87504","1036","86986","1556734","17.79"
"178","1991","66","0.01331","0.01322","0.50","86468","1143","85896","1469748","17.00"
"179","1991","67","0.01461","0.01450","0.50","85325","1237","84706","1383852","16.22"
"180","1991","68","0.01612","0.01599","0.50","84087","1344","83415","1299145","15.45"
"181","1991","69","0.01842","0.01825","0.50","82743","1510","81988","1215730","14.69"
"182","1991","70","0.02026","0.02006","0.50","81233","1629","80418","1133742","13.96"
"183","1991","71","0.02514","0.02483","0.50","79603","1976","78615","1053325","13.23"
"184","1991","72","0.02276","0.02251","0.50","77627","1747","76753","974709","12.56"
"185","1991","73","0.02860","0.02820","0.50","75880","2139","74810","897956","11.83"
"186","1991","74","0.03230","0.03178","0.50","73740","2344","72568","823146","11.16"
"187","1991","75","0.03390","0.03334","0.50","71396","2380","70206","750578","10.51"
"188","1991","76","0.04198","0.04112","0.50","69016","2838","67597","680372","9.86"
"189","1991","77","0.04483","0.04384","0.50","66178","2901","64728","612774","9.26"
"190","1991","78","0.05193","0.05062","0.50","63277","3203","61675","548047","8.66"
"191","1991","79","0.05914","0.05744","0.50","60074","3450","58349","486372","8.10"
"192","1991","80","0.06623","0.06411","0.50","56623","3630","54808","428023","7.56"
"193","1991","81","0.07522","0.07249","0.50","52993","3841","51072","373215","7.04"
"194","1991","82","0.08638","0.08280","0.50","49152","4070","47117","322142","6.55"
"195","1991","83","0.09752","0.09299","0.50","45082","4192","42986","275025","6.10"
"196","1991","84","0.11003","0.10429","0.50","40890","4264","38758","232040","5.67"
"197","1991","85","0.12286","0.11575","0.50","36625","4239","34506","193282","5.28"
"198","1991","86","0.13855","0.12957","0.50","32386","4196","30288","158776","4.90"
"199","1991","87","0.15413","0.14310","0.50","28190","4034","26173","128488","4.56"
"200","1991","88","0.17190","0.15830","0.50","24156","3824","22244","102315","4.24"
"201","1991","89","0.19200","0.17518","0.50","20332","3562","18551","80072","3.94"
"202","1991","90","0.20831","0.18866","0.50","16770","3164","15188","61520","3.67"
"203","1991","91","0.23446","0.20986","0.50","13606","2855","12179","46332","3.41"
"204","1991","92","0.25215","0.22392","0.50","10751","2407","9547","34153","3.18"
"205","1991","93","0.27912","0.24493","0.50","8344","2044","7322","24606","2.95"
"206","1991","94","0.30630","0.26562","0.50","6300","1673","5463","17284","2.74"
"207","1991","95","0.33773","0.28894","0.50","4627","1337","3958","11821","2.55"
"208","1991","96","0.36737","0.31036","0.50","3290","1021","2779","7863","2.39"
"209","1991","97","0.39805","0.33198","0.50","2269","753","1892","5083","2.24"
"210","1991","98","0.42956","0.35361","0.50","1516","536","1248","3191","2.11"
"211","1991","99","0.46164","0.37507","0.50","980","367","796","1944","1.98"
"212","1991","100","0.49405","0.39618","0.50","612","243","491","1148","1.87"
"213","1991","101","0.52651","0.41679","0.50","370","154","293","657","1.78"
"214","1991","102","0.55874","0.43673","0.50","216","94","169","364","1.69"
"215","1991","103","0.59049","0.45589","0.50","121","55","94","196","1.61"
"216","1991","104","0.62150","0.47415","0.50","66","31","50","102","1.54"
"217","1991","105","0.65154","0.49145","0.50","35","17","26","51","1.48"
"218","1991","106","0.68043","0.50770","0.50","18","9","13","25","1.42"
"219","1991","107","0.70800","0.52290","0.50","9","5","6","12","1.37"
"220","1991","108","0.73412","0.53701","0.50","4","2","3","6","1.33"
"221","1991","109","0.75870","0.55004","0.50","2","1","1","2","1.30"
"222","1991","110+","0.78168","1.00000","1.28","1","1","1","1","1.28"
"223","1992","0","0.00536","0.00534","0.14","100000","534","99540","7914040","79.14"
"224","1992","1","0.00052","0.00052","0.50","99466","52","99440","7814500","78.56"
"225","1992","2","0.00026","0.00026","0.50","99414","26","99401","7715060","77.61"
"226","1992","3","0.00024","0.00024","0.50","99388","24","99376","7615659","76.63"
"227","1992","4","0.00020","0.00020","0.50","99364","20","99354","7516283","75.64"
"228","1992","5","0.00021","0.00021","0.50","99344","20","99334","7416929","74.66"
"229","1992","6","0.00019","0.00019","0.50","99324","19","99314","7317595","73.67"
"230","1992","7","0.00014","0.00014","0.50","99305","14","99298","7218281","72.69"
"231","1992","8","0.00013","0.00013","0.50","99291","13","99285","7118983","71.70"
"232","1992","9","0.00011","0.00011","0.50","99278","11","99272","7019698","70.71"
"233","1992","10","0.00016","0.00016","0.50","99267","16","99259","6920426","69.72"
"234","1992","11","0.00015","0.00015","0.50","99251","15","99243","6821167","68.73"
"235","1992","12","0.00014","0.00014","0.50","99236","13","99229","6721924","67.74"
"236","1992","13","0.00010","0.00010","0.50","99222","10","99217","6622695","66.75"
"237","1992","14","0.00016","0.00016","0.50","99212","16","99204","6523478","65.75"
"238","1992","15","0.00021","0.00021","0.50","99196","21","99185","6424274","64.76"
"239","1992","16","0.00025","0.00025","0.50","99175","25","99163","6325089","63.78"
"240","1992","17","0.00029","0.00029","0.50","99150","29","99136","6225926","62.79"
"241","1992","18","0.00039","0.00039","0.50","99122","39","99102","6126790","61.81"
"242","1992","19","0.00044","0.00044","0.50","99083","44","99061","6027688","60.83"
"243","1992","20","0.00038","0.00038","0.50","99039","38","99020","5928627","59.86"
"244","1992","21","0.00033","0.00033","0.50","99001","33","98985","5829607","58.88"
"245","1992","22","0.00038","0.00038","0.50","98968","37","98949","5730623","57.90"
"246","1992","23","0.00035","0.00035","0.50","98931","34","98913","5631673","56.93"
"247","1992","24","0.00042","0.00042","0.50","98896","41","98876","5532760","55.95"
"248","1992","25","0.00038","0.00038","0.50","98855","38","98836","5433884","54.97"
"249","1992","26","0.00042","0.00042","0.50","98817","41","98796","5335048","53.99"
"250","1992","27","0.00039","0.00039","0.50","98776","38","98757","5236252","53.01"
"251","1992","28","0.00050","0.00050","0.50","98737","50","98713","5137495","52.03"
"252","1992","29","0.00048","0.00048","0.50","98688","48","98664","5038783","51.06"
"253","1992","30","0.00055","0.00055","0.50","98640","54","98613","4940119","50.08"
"254","1992","31","0.00051","0.00051","0.50","98586","50","98561","4841506","49.11"
"255","1992","32","0.00056","0.00056","0.50","98536","56","98508","4742945","48.13"
"256","1992","33","0.00064","0.00064","0.50","98480","63","98449","4644437","47.16"
"257","1992","34","0.00077","0.00077","0.50","98417","76","98379","4545988","46.19"
"258","1992","35","0.00082","0.00082","0.50","98341","81","98301","4447609","45.23"
"259","1992","36","0.00089","0.00089","0.50","98260","88","98217","4349308","44.26"
"260","1992","37","0.00096","0.00096","0.50","98173","95","98125","4251092","43.30"
"261","1992","38","0.00100","0.00099","0.50","98078","98","98029","4152966","42.34"
"262","1992","39","0.00115","0.00115","0.50","97981","113","97924","4054937","41.39"
"263","1992","40","0.00120","0.00120","0.50","97868","117","97810","3957012","40.43"
"264","1992","41","0.00140","0.00140","0.50","97751","136","97683","3859203","39.48"
"265","1992","42","0.00156","0.00156","0.50","97615","153","97538","3761520","38.53"
"266","1992","43","0.00165","0.00165","0.50","97462","161","97382","3663982","37.59"
"267","1992","44","0.00180","0.00179","0.50","97301","174","97214","3566600","36.66"
"268","1992","45","0.00192","0.00192","0.50","97127","186","97034","3469386","35.72"
"269","1992","46","0.00214","0.00214","0.50","96941","207","96837","3372353","34.79"
"270","1992","47","0.00236","0.00236","0.50","96733","228","96619","3275516","33.86"
"271","1992","48","0.00256","0.00256","0.50","96505","247","96382","3178897","32.94"
"272","1992","49","0.00281","0.00281","0.50","96258","270","96123","3082515","32.02"
"273","1992","50","0.00289","0.00289","0.50","95988","277","95849","2986392","31.11"
"274","1992","51","0.00295","0.00294","0.50","95711","282","95570","2890543","30.20"
"275","1992","52","0.00339","0.00338","0.50","95429","323","95268","2794973","29.29"
"276","1992","53","0.00373","0.00372","0.50","95106","354","94929","2699705","28.39"
"277","1992","54","0.00390","0.00390","0.50","94752","369","94568","2604776","27.49"
"278","1992","55","0.00450","0.00449","0.50","94383","424","94171","2510209","26.60"
"279","1992","56","0.00477","0.00476","0.50","93959","447","93736","2416037","25.71"
"280","1992","57","0.00541","0.00539","0.50","93512","504","93260","2322302","24.83"
"281","1992","58","0.00580","0.00579","0.50","93008","538","92739","2229041","23.97"
"282","1992","59","0.00652","0.00650","0.50","92470","601","92169","2136302","23.10"
"283","1992","60","0.00712","0.00709","0.50","91869","652","91543","2044133","22.25"
"284","1992","61","0.00785","0.00781","0.50","91218","713","90861","1952590","21.41"
"285","1992","62","0.00860","0.00856","0.50","90505","775","90117","1861728","20.57"
"286","1992","63","0.00936","0.00931","0.50","89730","836","89312","1771611","19.74"
"287","1992","64","0.01044","0.01038","0.50","88894","923","88433","1682299","18.92"
"288","1992","65","0.01145","0.01138","0.50","87971","1001","87471","1593866","18.12"
"289","1992","66","0.01263","0.01256","0.50","86970","1092","86424","1506395","17.32"
"290","1992","67","0.01395","0.01385","0.50","85878","1190","85283","1419971","16.53"
"291","1992","68","0.01539","0.01527","0.50","84688","1293","84042","1334688","15.76"
"292","1992","69","0.01750","0.01735","0.50","83395","1447","82672","1250646","15.00"
"293","1992","70","0.01934","0.01915","0.50","81948","1569","81163","1167975","14.25"
"294","1992","71","0.02189","0.02165","0.50","80379","1740","79509","1086811","13.52"
"295","1992","72","0.02671","0.02636","0.50","78638","2073","77602","1007303","12.81"
"296","1992","73","0.02488","0.02457","0.50","76566","1881","75625","929701","12.14"
"297","1992","74","0.03034","0.02989","0.50","74684","2232","73568","854076","11.44"
"298","1992","75","0.03474","0.03415","0.50","72452","2474","71215","780508","10.77"
"299","1992","76","0.03679","0.03613","0.50","69978","2528","68714","709293","10.14"
"300","1992","77","0.04533","0.04433","0.50","67450","2990","65955","640579","9.50"
"301","1992","78","0.04909","0.04792","0.50","64460","3089","62916","574624","8.91"
"302","1992","79","0.05492","0.05346","0.50","61371","3281","59731","511709","8.34"
"303","1992","80","0.06324","0.06130","0.50","58091","3561","56310","451978","7.78"
"304","1992","81","0.07210","0.06959","0.50","54529","3795","52632","395668","7.26"
"305","1992","82","0.08036","0.07726","0.50","50735","3920","48775","343036","6.76"
"306","1992","83","0.09280","0.08868","0.50","46815","4152","44739","294261","6.29"
"307","1992","84","0.10380","0.09868","0.50","42663","4210","40558","249522","5.85"
"308","1992","85","0.11788","0.11132","0.50","38453","4281","36313","208963","5.43"
"309","1992","86","0.13051","0.12252","0.50","34173","4187","32079","172650","5.05"
"310","1992","87","0.14827","0.13804","0.50","29986","4139","27916","140571","4.69"
"311","1992","88","0.16560","0.15294","0.50","25847","3953","23870","112654","4.36"
"312","1992","89","0.18045","0.16551","0.50","21894","3624","20082","88784","4.06"
"313","1992","90","0.20450","0.18553","0.50","18270","3390","16575","68702","3.76"
"314","1992","91","0.22473","0.20203","0.50","14880","3006","13377","52126","3.50"
"315","1992","92","0.24661","0.21954","0.50","11874","2607","10571","38749","3.26"
"316","1992","93","0.26987","0.23779","0.50","9267","2204","8165","28178","3.04"
"317","1992","94","0.29170","0.25457","0.50","7064","1798","6165","20013","2.83"
"318","1992","95","0.32548","0.27992","0.50","5265","1474","4528","13848","2.63"
"319","1992","96","0.35463","0.30122","0.50","3792","1142","3220","9320","2.46"
"320","1992","97","0.38491","0.32278","0.50","2649","855","2222","6099","2.30"
"321","1992","98","0.41610","0.34444","0.50","1794","618","1485","3878","2.16"
"322","1992","99","0.44798","0.36600","0.50","1176","431","961","2392","2.03"
"323","1992","100","0.48029","0.38729","0.50","746","289","601","1431","1.92"
"324","1992","101","0.51277","0.40813","0.50","457","186","364","830","1.82"
"325","1992","102","0.54514","0.42838","0.50","270","116","213","466","1.72"
"326","1992","103","0.57713","0.44789","0.50","155","69","120","254","1.64"
"327","1992","104","0.60849","0.46655","0.50","85","40","65","134","1.57"
"328","1992","105","0.63898","0.48426","0.50","46","22","35","68","1.50"
"329","1992","106","0.66839","0.50097","0.50","23","12","18","34","1.45"
"330","1992","107","0.69654","0.51662","0.50","12","6","9","16","1.40"
"331","1992","108","0.72329","0.53119","0.50","6","3","4","8","1.35"
"332","1992","109","0.74854","0.54468","0.50","3","1","2","3","1.32"
"333","1992","110+","0.77220","1.00000","1.29","1","1","2","2","1.29"
"334","1993","0","0.00504","0.00501","0.14","100000","501","99568","7921485","79.21"
"335","1993","1","0.00054","0.00054","0.50","99499","53","99472","7821917","78.61"
"336","1993","2","0.00025","0.00025","0.50","99445","24","99433","7722445","77.66"
"337","1993","3","0.00021","0.00021","0.50","99421","21","99410","7623012","76.67"
"338","1993","4","0.00022","0.00022","0.50","99400","22","99389","7523602","75.69"
"339","1993","5","0.00016","0.00016","0.50","99378","16","99370","7424213","74.71"
"340","1993","6","0.00015","0.00015","0.50","99362","15","99354","7324843","73.72"
"341","1993","7","0.00013","0.00013","0.50","99347","13","99340","7225488","72.73"
"342","1993","8","0.00012","0.00012","0.50","99334","12","99327","7126148","71.74"
"343","1993","9","0.00014","0.00014","0.50","99321","13","99315","7026820","70.75"
"344","1993","10","0.00014","0.00014","0.50","99308","14","99301","6927506","69.76"
"345","1993","11","0.00012","0.00012","0.50","99294","11","99288","6828205","68.77"
"346","1993","12","0.00016","0.00016","0.50","99282","15","99275","6728917","67.78"
"347","1993","13","0.00017","0.00017","0.50","99267","17","99258","6629642","66.79"
"348","1993","14","0.00016","0.00016","0.50","99250","16","99242","6530384","65.80"
"349","1993","15","0.00020","0.00020","0.50","99234","20","99224","6431142","64.81"
"350","1993","16","0.00031","0.00031","0.50","99214","31","99199","6331918","63.82"
"351","1993","17","0.00032","0.00032","0.50","99183","32","99167","6232720","62.84"
"352","1993","18","0.00038","0.00038","0.50","99151","38","99132","6133552","61.86"
"353","1993","19","0.00042","0.00042","0.50","99114","42","99093","6034420","60.88"
"354","1993","20","0.00033","0.00033","0.50","99072","33","99055","5935327","59.91"
"355","1993","21","0.00031","0.00031","0.50","99039","31","99023","5836272","58.93"
"356","1993","22","0.00035","0.00035","0.50","99008","34","98991","5737249","57.95"
"357","1993","23","0.00034","0.00034","0.50","98973","34","98956","5638258","56.97"
"358","1993","24","0.00034","0.00034","0.50","98939","34","98923","5539302","55.99"
"359","1993","25","0.00041","0.00041","0.50","98906","41","98886","5440379","55.01"
"360","1993","26","0.00036","0.00036","0.50","98865","36","98847","5341494","54.03"
"361","1993","27","0.00038","0.00038","0.50","98829","38","98810","5242647","53.05"
